Data is to be used only for analysis purposes related to broadband mapping,,,,
For questions contact bbdata@microsoft.com,,,,
,,,,
Broadband availability in the United States based on the FCC,,,,
Fourteenth Broadband Deployment Report: https://www.fcc.gov/reports-research/reports/broadband-progress-reports/fourteenth-broadband-deployment-report,,,,
Form 477 data as of December 2019,,,,
,,,,
Broadband* usage in the United States based on Microsoft data,,,,
Data for October 2020,,,,
* Download speed benchmark of 25Mbps,,,,
,,,,
Field list,Notes,,,
NC,37119,Mecklenburg County,1,0.791
NC,37121,Mitchell County,0.8991,0.317
NC,37123,Montgomery County,0.6692,0.104
NC,37125,Moore County,0.905,0.562
NC,37127,Nash County,0.8852,0.398
NC,37129,New Hanover County,0.9984,0.794
NC,37131,Northampton County,0.8082,0.064
NC,37133,Onslow County,0.9714,0.676
NC,37135,Orange County,0.9404,0.552
NC,37137,Pamlico County,0.8598,0.432
NC,37139,Pasquotank County,0.9988,0.744
NC,37141,Pender County,0.7822,0.598
NC,37143,Perquimans County,0.8779,0.198
NC,37145,Person County,0.9887,0.271
NC,37147,Pitt County,0.9028,0.449
NC,37149,Polk County,0.899,0.208
NC,37151,Randolph County,0.9753,0.505
NC,37153,Richmond County,0.9375,0.457
NC,37155,Robeson County,0.8515,0.401
NC,37157,Rockingham County,0.9706,0.472
NC,37159,Rowan County,0.9819,0.608
NC,37161,Rutherford County,0.9247,0.221
NC,37163,Sampson County,0.6531,0.143
NC,37165,Scotland County,0.9111,0.275
NC,37167,Stanly County,0.985,0.47
NC,37169,Stokes County,0.9747,0.393
NC,37171,Surry County,0.9977,0.452
NC,37173,Swain County,0.6714,0.184
NC,37175,Transylvania County,0.8989,0.547
NC,37177,Tyrrell County,0.5209,0.058
NC,37179,Union County,0.9901,0.807
NC,37181,Vance County,0.95,0.401
NC,37183,Wake County,0.9986,0.779
NC,37185,Warren County,0.6713,0.156
NC,37187,Washington County,0.8326,0.11
NC,37189,Watauga County,0.9868,0.779
NC,37191,Wayne County,0.9665,0.473
NC,37193,Wilkes County,0.9936,0.522
NC,37195,Wilson County,0.9828,0.676
NC,37197,Yadkin County,0.9926,0.509
NC,37199,Yancey County,0.9086,0.562
ND,38001,Adams County,1,0.633
ND,38003,Barnes County,0.9551,0.439
ND,38005,Benson County,0.9955,0.324
ND,38007,Billings County,0.5366,0.091
ND,38009,Bottineau County,0.9987,0.305
ND,38011,Bowman County,1,0.521
ND,38013,Burke County,0.8184,0.298
ND,38015,Burleigh County,0.9879,0.746
ND,38017,Cass County,0.9632,0.674
ND,38019,Cavalier County,1,0.534
ND,38021,Dickey County,0.9977,0.78
ND,38023,Divide County,0.9594,0.243
ND,38025,Dunn County,0.9821,0.623
ND,38027,Eddy County,1,0.36
ND,38029,Emmons County,1,0.522
ND,38031,Foster County,1,0.611
ND,38033,Golden Valley County,0.607,0.256
ND,38035,Grand Forks County,0.9875,0.68
ND,38037,Grant County,0.9653,0.396
ND,38039,Griggs County,0.9561,0.739
ND,38041,Hettinger County,1,0.366
ND,38043,Kidder County,1,0.45
ND,38045,LaMoure County,1,0.521
ND,38047,Logan County,1,0.519
ND,38049,McHenry County,0.9993,0.149
ND,38051,McIntosh County,1,0.402
ND,38053,McKenzie County,0.7279,0.878
ND,38055,McLean County,0.9179,0.378
ND,38057,Mercer County,0.9987,0.746
ND,38059,Morton County,0.9692,0.314
ND,38061,Mountrail County,0.8628,0.791
ND,38063,Nelson County,1,0.278
ND,38065,Oliver County,0.9974,0.692
ND,38067,Pembina County,1,0.469
ND,38069,Pierce County,1,0.361
ND,38071,Ramsey County,1,0.485
ND,38073,Ransom County,0.9937,0.571
ND,38075,Renville County,0.9875,0.339
ND,38077,Richland County,0.9976,0.616
ND,38079,Rolette County,0.9891,0.5
ND,38081,Sargent County,0.9997,0.596
ND,38083,Sheridan County,0.9977,0.164
ND,38085,Sioux County,0.9667,0.305
ND,38087,Slope County,0.9827,0.333
ND,38089,Stark County,0.9806,0.517
ND,38091,Steele County,0.9598,0.283
ND,38093,Stutsman County,0.9803,0.661
ND,38095,Towner County,0.8693,0.314
ND,38097,Traill County,0.9798,0.259
ND,38099,Walsh County,0.9768,0.411
ND,38101,Ward County,0.9762,0.697
ND,38103,Wells County,1,0.388
ND,38105,Williams County,0.9484,0.747
OH,39001,Adams County,0.7436,0.167
OH,39003,Allen County,0.9839,0.559
OH,39005,Ashland County,1,0.641
OH,39007,Ashtabula County,0.9315,0.461
OH,39009,Athens County,0.7734,0.257
OH,39011,Auglaize County,0.9605,0.597
OH,39013,Belmont County,0.8946,0.43
OH,39015,Brown County,0.8635,0.168
OH,39017,Butler County,0.9983,0.677
OH,39019,Carroll County,0.6838,0.282
OH,39021,Champaign County,0.9232,0.393
OH,39023,Clark County,0.9974,0.522
OH,39025,Clermont County,0.9946,0.756
OH,39027,Clinton County,0.8199,0.365
OH,39029,Columbiana County,0.8442,0.446
OH,39031,Coshocton County,0.7323,0.347
OH,39033,Crawford County,0.996,0.506
OH,39035,Cuyahoga County,0.995,0.641
OH,39037,Darke County,0.951,0.383
OH,39039,Defiance County,1,0.483
OH,39041,Delaware County,0.9942,0.794
OH,39043,Erie County,1,0.491
OH,39045,Fairfield County,0.9776,0.645
OH,39047,Fayette County,0.8774,0.435
OH,39049,Franklin County,0.9999,0.672
OH,39051,Fulton County,0.9998,0.316
OH,39053,Gallia County,0.8825,0.121
OH,39055,Geauga County,0.9356,0.581
OH,39057,Greene County,0.9814,0.544
OH,39059,Guernsey County,0.8276,0.372
OH,39061,Hamilton County,0.9999,0.631
OH,39063,Hancock County,0.9799,0.538
OH,39065,Hardin County,0.9723,0.395
OH,39067,Harrison County,0.6537,0.071
OH,39069,Henry County,1,0.359
OH,39071,Highland County,0.7459,0.274
OH,39073,Hocking County,0.7108,0.26
OH,39075,Holmes County,1,0.261
OH,39077,Huron County,1,0.435
OH,39079,Jackson County,0.8578,0.316
OH,39081,Jefferson County,0.9276,0.521
OH,39083,Knox County,0.7833,0.46
OH,39085,Lake County,0.9992,0.58
OH,39087,Lawrence County,0.8642,0.557
OH,39089,Licking County,0.9543,0.608
OH,39091,Logan County,0.9455,0.322
OH,39093,Lorain County,1,0.659
OH,39095,Lucas County,0.9893,0.473
OH,39097,Madison County,0.9417,0.281
OH,39099,Mahoning County,0.9869,0.593
OH,39101,Marion County,0.994,0.516
OH,39103,Medina County,1,0.786
OH,39105,Meigs County,0.6713,0.164
OH,39107,Mercer County,1,0.497
OH,39109,Miami County,0.9927,0.616
OH,39111,Monroe County,0.3943,0.091
OH,39113,Montgomery County,0.998,0.627
OH,39115,Morgan County,0.6088,0.103
OH,39117,Morrow County,0.8083,0.441
OH,39119,Muskingum County,0.8931,0.665
OH,39121,Noble County,0.6655,0.103
OH,39123,Ottawa County,1,0.501
OH,39125,Paulding County,1,0.191
OH,39127,Perry County,0.7183,0.311
OH,39129,Pickaway County,0.9343,0.408
OH,39131,Pike County,0.8775,0.322
OH,39133,Portage County,0.9927,0.539
OH,39135,Preble County,0.9877,0.466
OH,39137,Putnam County,0.9999,0.387
OH,39139,Richland County,0.9979,0.52
OH,39141,Ross County,0.9443,0.452
OH,39143,Sandusky County,1,0.531
OH,39145,Scioto County,0.9054,0.495
OH,39147,Seneca County,0.9675,0.512
OH,39149,Shelby County,0.9766,0.533
OH,39151,Stark County,0.9946,0.58
OH,39153,Summit County,0.9999,0.596
OH,39155,Trumbull County,0.9754,0.513
OH,39157,Tuscarawas County,0.8931,0.592
OH,39159,Union County,0.9947,0.684
OH,39161,Van Wert County,1,0.486
OH,39163,Vinton County,0.6607,0.141
OH,39165,Warren County,0.9826,0.777
OH,39167,Washington County,0.7813,0.433
OH,39169,Wayne County,0.9783,0.428
OH,39171,Williams County,0.9999,0.426
OH,39173,Wood County,1,0.573
OH,39175,Wyandot County,0.9525,0.426
OK,40001,Adair County,0.7634,0.309
OK,40003,Alfalfa County,0.9435,0.15
OK,40005,Atoka County,0.5262,0.117
OK,40007,Beaver County,0.8027,0.238
OK,40009,Beckham County,0.7207,0.432
OK,40011,Blaine County,0.8255,0.233
OK,40013,Bryan County,0.9658,0.378
OK,40015,Caddo County,0.5297,0.135
OK,40017,Canadian County,0.8857,0.701
OK,40019,Carter County,1,0.559
OK,40021,Cherokee County,0.7994,0.645
OK,40023,Choctaw County,0.3648,0.096
OK,40025,Cimarron County,0.7426,0.209
OK,40027,Cleveland County,0.9484,0.688
OK,40029,Coal County,0.7853,0.066
OK,40031,Comanche County,0.9467,0.502
OK,40033,Cotton County,0.5835,0.206
OK,40035,Craig County,0.9955,0.176
OK,40037,Creek County,0.6785,0.411
OK,40039,Custer County,0.7881,0.413
OK,40041,Delaware County,0.908,0.485
OK,40043,Dewey County,0.3267,0.158
OK,40045,Ellis County,0.737,0.102
OK,40047,Garfield County,0.8676,0.461
OK,40049,Garvin County,0.7845,0.169
OK,40051,Grady County,0.6878,0.347
OK,40053,Grant County,0.8994,0.127
OK,40055,Greer County,0.5061,0.136
OK,40057,Harmon County,0.8805,0.048
OK,40059,Harper County,0.8381,0.093
OK,40061,Haskell County,0.3944,0.152
OK,40063,Hughes County,0.5391,0.1
OK,40065,Jackson County,0.798,0.474
OK,40067,Jefferson County,0.6651,0.09
OK,40069,Johnston County,0.9401,0.163
OK,40071,Kay County,0.9472,0.369
OK,40073,Kingfisher County,0.9255,0.591
OK,40075,Kiowa County,0.7331,0.132
OK,40077,Latimer County,0.5198,0.076
OK,40079,Le Flore County,0.5521,0.19
OK,40081,Lincoln County,0.9168,0.111
OK,40083,Logan County,1,0.407
OK,40085,Love County,1,0.224
OK,40087,McClain County,0.8554,0.718
OK,40089,McCurtain County,0.5648,0.2
OK,40091,McIntosh County,0.4087,0.245
OK,40093,Major County,0.3517,0.264
OK,40095,Marshall County,1,0.104
OK,40097,Mayes County,0.952,0.252
OK,40099,Murray County,0.9999,0.145
OK,40101,Muskogee County,0.6767,0.462
OK,40103,Noble County,0.9304,0.096
OK,40105,Nowata County,0.8503,0.083
OK,40107,Okfuskee County,0.3664,0.12
OK,40109,Oklahoma County,0.9685,0.633
OK,40111,Okmulgee County,0.5419,0.224
OK,40113,Osage County,0.7369,0.181
OK,40115,Ottawa County,0.9995,0.191
OK,40117,Pawnee County,0.3493,0.083
OK,40119,Payne County,1,0.434
OK,40121,Pittsburg County,0.7485,0.287
OK,40123,Pontotoc County,0.9338,0.431
OK,40125,Pottawatomie County,0.8995,0.363
OK,40127,Pushmataha County,0.2598,0.077
OK,40129,Roger Mills County,0.1267,0.083
OK,40131,Rogers County,0.978,0.284
OK,40133,Seminole County,0.6123,0.194
OK,40135,Sequoyah County,0.3542,0.202
OK,40137,Stephens County,0.9521,0.423
OK,40139,Texas County,0.8792,0.377
OK,40141,Tillman County,0.9041,0.116
OK,40143,Tulsa County,0.9835,0.642
OK,40145,Wagoner County,0.8904,0.481
OK,40147,Washington County,0.919,0.443
OK,40149,Washita County,0.6747,0.113
OK,40151,Woods County,0.9061,0.288
OK,40153,Woodward County,0.3441,0.138
OR,41001,Baker County,0.7059,0.38
OR,41003,Benton County,0.9951,0.747
OR,41005,Clackamas County,0.9695,0.804
OR,41007,Clatsop County,0.8239,0.788
OR,41009,Columbia County,0.8067,0.277
OR,41011,Coos County,0.8966,0.622
OR,41013,Crook County,0.9163,0.371
OR,41015,Curry County,0.9423,0.517
OR,41017,Deschutes County,0.9745,0.693
OR,41019,Douglas County,0.93,0.635
OR,41021,Gilliam County,0.3797,0.409
OR,41023,Grant County,0.5769,0.317
OR,41025,Harney County,0.6733,0.106
OR,41027,Hood River County,0.97,0.571
OR,41029,Jackson County,0.927,0.615
OR,41031,Jefferson County,0.9725,0.286
OR,41033,Josephine County,0.8853,0.543
OR,41035,Klamath County,0.8426,0.582
OR,41037,Lake County,0.4811,0.306
OR,41039,Lane County,0.9402,0.658
OR,41041,Lincoln County,0.9544,0.65
OR,41043,Linn County,0.9746,0.624
OR,41045,Malheur County,0.9515,0.216
OR,41047,Marion County,0.9909,0.732
OR,41049,Morrow County,0.5708,0.466
OR,41051,Multnomah County,0.979,0.83
OR,41053,Polk County,0.9676,0.792
OR,41055,Sherman County,0.5067,0.082
OR,41057,Tillamook County,0.9166,0.658
OR,41059,Umatilla County,0.93,0.476
OR,41061,Union County,0.8933,0.505
OR,41063,Wallowa County,0.9051,0.19
OR,41065,Wasco County,0.8508,0.837
OR,41067,Washington County,0.9715,0.827
OR,41069,Wheeler County, -   ,0.149
OR,41071,Yamhill County,0.8515,0.59
PA,42001,Adams County,0.9387,0.509
PA,42003,Allegheny County,0.9937,0.661
PA,42005,Armstrong County,0.9542,0.406
PA,42007,Beaver County,0.9829,0.589
PA,42009,Bedford County,0.762,0.181
PA,42011,Berks County,0.9797,0.567
PA,42013,Blair County,0.8689,0.517
PA,42015,Bradford County,0.7476,0.368
PA,42017,Bucks County,0.9864,0.851
PA,42019,Butler County,0.9628,0.645
PA,42021,Cambria County,0.9366,0.444
PA,42023,Cameron County,0.9481,0.305
PA,42025,Carbon County,0.9749,0.537
PA,42027,Centre County,0.9386,0.547
PA,42029,Chester County,0.9891,0.81
PA,42031,Clarion County,0.8551,0.34
PA,42033,Clearfield County,0.8075,0.46
PA,42035,Clinton County,0.9653,0.608
PA,42037,Columbia County,0.7994,0.398
PA,42039,Crawford County,0.7874,0.52
PA,42041,Cumberland County,0.9256,0.657
PA,42043,Dauphin County,0.9843,0.695
PA,42045,Delaware County,0.99,0.723
PA,42047,Elk County,0.9617,0.386
PA,42049,Erie County,0.9488,0.514
PA,42051,Fayette County,0.8927,0.489
PA,42053,Forest County,0.7235,0.107
PA,42055,Franklin County,0.9202,0.605
PA,42057,Fulton County,0.6028,0.07
PA,42059,Greene County,0.8101,0.281
PA,42061,Huntingdon County,0.8276,0.374
PA,42063,Indiana County,0.8174,0.402
PA,42065,Jefferson County,0.8959,0.343
PA,42067,Juniata County,0.8018,0.127
PA,42069,Lackawanna County,0.8933,0.634
PA,42071,Lancaster County,0.9663,0.643
PA,42073,Lawrence County,0.9606,0.555
PA,42075,Lebanon County,0.9751,0.638
PA,42077,Lehigh County,0.999,0.699
PA,42079,Luzerne County,0.9701,0.468
PA,42081,Lycoming County,0.9566,0.487
PA,42083,McKean County,0.8696,0.377
PA,42085,Mercer County,0.9131,0.469
PA,42087,Mifflin County,0.9599,0.354
PA,42089,Monroe County,0.9934,0.604
PA,42091,Montgomery County,0.9897,0.831
PA,42093,Montour County,0.7219,0.25
PA,42095,Northampton County,0.9999,0.647
PA,42097,Northumberland County,0.8726,0.455
PA,42099,Perry County,0.8479,0.245
PA,42101,Philadelphia County,0.9911,0.591
PA,42103,Pike County,0.9853,0.679
PA,42105,Potter County,0.6977,0.349
PA,42107,Schuylkill County,0.9278,0.387
PA,42109,Snyder County,0.7738,0.27
PA,42111,Somerset County,0.8582,0.492
PA,42113,Sullivan County,0.5814,0.143
PA,42115,Susquehanna County,0.6028,0.19
PA,42117,Tioga County,0.8997,0.315
PA,42119,Union County,0.9366,0.365
PA,42121,Venango County,0.909,0.447
PA,42123,Warren County,0.7523,0.247
PA,42125,Washington County,0.9449,0.551
PA,42127,Wayne County,0.6491,0.401
PA,42129,Westmoreland County,0.9808,0.629
PA,42131,Wyoming County,0.8971,0.403
PA,42133,York County,0.9961,0.634
RI,44001,Bristol County,0.9997,0.777
RI,44003,Kent County,0.9855,0.76
RI,44005,Newport County,0.965,0.674
RI,44007,Providence County,0.989,0.748
RI,44009,Washington County,0.9783,0.747
SC,45001,Abbeville County,0.9614,0.399
SC,45003,Aiken County,0.7016,0.459
SC,45005,Allendale County,0.3125,0.034
SC,45007,Anderson County,0.9525,0.514
SC,45009,Bamberg County,0.399,0.108
SC,45011,Barnwell County,0.5312,0.247
SC,45013,Beaufort County,0.884,0.749
SC,45015,Berkeley County,0.9445,0.662
SC,45017,Calhoun County,0.7855,0.152
SC,45019,Charleston County,0.9476,0.629
SC,45021,Cherokee County,0.8729,0.352
SC,45023,Chester County,0.8705,0.176
SC,45025,Chesterfield County,0.6777,0.23
SC,45027,Clarendon County,0.9383,0.339
SC,45029,Colleton County,0.8822,0.392
SC,45031,Darlington County,0.8874,0.532
SC,45033,Dillon County,0.7687,0.19
SC,45035,Dorchester County,0.9269,0.642
SC,45037,Edgefield County,0.6781,0.2
SC,45039,Fairfield County,0.7977,0.185
SC,45041,Florence County,0.9515,0.495
SC,45043,Georgetown County,0.8895,0.504
SC,45045,Greenville County,0.9834,0.73
SC,45047,Greenwood County,0.9133,0.472
SC,45049,Hampton County,0.541,0.098
SC,45051,Horry County,0.9984,0.824
SC,45053,Jasper County,0.6311,0.267
SC,45055,Kershaw County,0.833,0.423
SC,45057,Lancaster County,0.874,0.471
SC,45059,Laurens County,0.9104,0.269
SC,45061,Lee County,0.8477,0.136
SC,45063,Lexington County,0.9681,0.615
SC,45065,McCormick County,0.4012,0.439
SC,45067,Marion County,0.7081,0.322
SC,45069,Marlboro County,0.401,0.106
SC,45071,Newberry County,0.8173,0.329
SC,45073,Oconee County,0.8499,0.227
SC,45075,Orangeburg County,0.6524,0.413
SC,45077,Pickens County,0.9378,0.417
SC,45079,Richland County,0.9762,0.527
SC,45081,Saluda County,0.6022,0.071
SC,45083,Spartanburg County,0.9595,0.528
SC,45085,Sumter County,0.9691,0.476
SC,45087,Union County,0.7962,0.089
SC,45089,Williamsburg County,0.828,0.127
SC,45091,York County,0.965,0.653
SD,46003,Aurora County,0.7325,0.499
SD,46005,Beadle County,1,0.614
SD,46007,Bennett County,0.9061,0.304
SD,46009,Bon Homme County,0.825,0.301
SD,46011,Brookings County,0.9991,0.594
SD,46013,Brown County,1,0.451
SD,46015,Brule County,1,0.74
SD,46017,Buffalo County,1,0.169
SD,46019,Butte County,0.994,0.441
SD,46021,Campbell County,1,0.552
SD,46023,Charles Mix County,0.551,0.371
SD,46025,Clark County,0.9909,0.25
SD,46027,Clay County,0.9387,0.213
SD,46029,Codington County,0.9853,0.69
SD,46031,Corson County,0.8336,0.218
SD,46033,Custer County,0.6352,0.274
SD,46035,Davison County,0.9997,0.611
SD,46037,Day County,0.9983,0.159
SD,46039,Deuel County,0.9989,0.683
SD,46041,Dewey County,0.946,0.54
SD,46043,Douglas County,0.8319,0.212
SD,46045,Edmunds County,1,0.42
SD,46047,Fall River County,0.9137,0.332
SD,46049,Faulk County,1,0.673
SD,46051,Grant County,0.7764,0.395
SD,46053,Gregory County,0.918,0.33
SD,46055,Haakon County,0.9242,0.345
SD,46057,Hamlin County,0.9995,0.25
SD,46059,Hand County,1,0.297
SD,46061,Hanson County,0.9997,0.413
SD,46063,Harding County,1,0.206
SD,46065,Hughes County,0.9998,0.908
SD,46067,Hutchinson County,0.997,0.385
SD,46069,Hyde County,1,1
SD,46071,Jackson County,0.741,0.329
SD,46073,Jerauld County,1,0.085
SD,46075,Jones County,0.5061,0.209
SD,46077,Kingsbury County,1,0.115
SD,46079,Lake County,1,0.259
SD,46081,Lawrence County,0.943,0.683
SD,46083,Lincoln County,0.9559,0.746
SD,46085,Lyman County,0.9339,0.213
SD,46087,McCook County,0.8177,0.524
SD,46089,McPherson County,1,0.516
SD,46091,Marshall County,0.9832,0.351
SD,46093,Meade County,0.9996,0.296
SD,46095,Mellette County,0.5798,0.121
SD,46097,Miner County,1,0.438
SD,46099,Minnehaha County,0.9855,0.692
SD,46101,Moody County,0.9714,0.132
SD,46103,Pennington County,0.9551,0.687
SD,46105,Perkins County,0.9812,0.725
SD,46107,Potter County,1,0.79
SD,46109,Roberts County,0.8816,0.533
SD,46111,Sanborn County,1,0.353
SD,46102,Oglala County,0.7255,0.333
SD,46115,Spink County,1,0.106
SD,46117,Stanley County,0.9829,0.164
SD,46119,Sully County,1,0.914
SD,46121,Todd County,0.6264,0.17
SD,46123,Tripp County,0.898,0.358
SD,46125,Turner County,0.8632,0.281
SD,46127,Union County,0.9375,0.426
SD,46129,Walworth County,1,0.272
SD,46135,Yankton County,0.9268,0.857
SD,46137,Ziebach County,1,0.175
TN,47001,Anderson County,0.9693,0.653
TN,47003,Bedford County,0.9608,0.442
TN,47005,Benton County,0.7196,0.124
TN,47007,Bledsoe County,0.5383,0.237
TN,47009,Blount County,0.9846,0.598
TN,47011,Bradley County,0.9779,0.693
TN,47013,Campbell County,0.8579,0.363
TN,47015,Cannon County,0.9968,0.324
TN,47017,Carroll County,0.7124,0.444
TN,47019,Carter County,0.9709,0.286
TN,47021,Cheatham County,0.9378,0.309
TN,47023,Chester County,0.5659,0.349
TN,47025,Claiborne County,0.9572,0.351
TN,47027,Clay County,0.979,0.227
TN,47029,Cocke County,0.8098,0.228
TN,47031,Coffee County,0.9451,0.608
TN,47033,Crockett County,0.9047,0.142
TN,47035,Cumberland County,0.6759,0.419
TN,47037,Davidson County,0.9755,0.55
TN,47039,Decatur County,0.747,0.299
TN,47041,DeKalb County,0.9949,0.454
TN,47043,Dickson County,0.7908,0.396
TN,47045,Dyer County,0.9223,0.361
TN,47047,Fayette County,0.8153,0.455
TN,47049,Fentress County,0.989,0.226
TN,47051,Franklin County,0.9752,0.343
TN,47053,Gibson County,0.9531,0.432
TN,47055,Giles County,0.8769,0.253
TN,47057,Grainger County,0.6756,0.109
TN,47059,Greene County,0.9624,0.48
TN,47061,Grundy County,0.875,0.275
TN,47063,Hamblen County,1,0.7
TN,47065,Hamilton County,0.987,0.787
TN,47067,Hancock County,0.7093,0.273
TN,47069,Hardeman County,0.5642,0.123
TN,47071,Hardin County,0.6392,0.217
TN,47073,Hawkins County,0.8242,0.486
TN,47075,Haywood County,0.8418,0.182
TN,47077,Henderson County,0.7284,0.26
TN,47079,Henry County,0.8651,0.624
TN,47081,Hickman County,0.7894,0.193
TN,47083,Houston County,0.8377,0.19
TN,47085,Humphreys County,0.744,0.615
TN,47087,Jackson County,0.928,0.33
TN,47089,Jefferson County,0.8221,0.236
TN,47091,Johnson County,0.9371,0.373
TN,47093,Knox County,0.983,0.631
TN,47095,Lake County,1,0.253
TN,47097,Lauderdale County,0.832,0.252
TN,47099,Lawrence County,0.9445,0.297
TN,47101,Lewis County,0.9,0.33
TN,47103,Lincoln County,0.9632,0.259
TN,47105,Loudon County,0.9323,0.445
TN,47107,McMinn County,0.8066,0.376
TN,47109,McNairy County,0.5099,0.098
TN,47111,Macon County,0.9881,0.639
TN,47113,Madison County,0.9574,0.794
TN,47115,Marion County,0.9105,0.543
TN,47117,Marshall County,0.8768,0.379
TN,47119,Maury County,0.9253,0.753
TN,47121,Meigs County,0.5672,0.109
TN,47123,Monroe County,0.868,0.26
TN,47125,Montgomery County,0.9217,0.784
TN,47127,Moore County,0.9846,0.132
TN,47129,Morgan County,1,0.342
TN,47131,Obion County,0.7827,0.278
TN,47133,Overton County,0.8989,0.739
TN,47135,Perry County,0.7988,0.193
TN,47137,Pickett County,0.9624,0.313
TN,47139,Polk County,0.815,0.205
TN,47141,Putnam County,0.953,0.733
TN,47143,Rhea County,0.9012,0.226
TN,47145,Roane County,0.9309,0.38
TN,47147,Robertson County,0.8361,0.562
TN,47149,Rutherford County,0.9644,0.7
TN,47151,Scott County,1,0.238
TN,47153,Sequatchie County,0.7291,0.478
TN,47155,Sevier County,0.9508,0.577
TN,47157,Shelby County,0.9881,0.43
TN,47159,Smith County,0.9273,0.363
TN,47161,Stewart County,0.6524,0.448
TN,47163,Sullivan County,1,0.785
TN,47165,Sumner County,0.9783,0.838
TN,47167,Tipton County,0.958,0.366
TN,47169,Trousdale County,0.8601,0.318
TN,47171,Unicoi County,0.989,0.334
TN,47173,Union County,0.7964,0.143
TN,47175,Van Buren County,0.7078,0.34
TN,47177,Warren County,0.9054,0.637
TN,47179,Washington County,0.977,0.685
TN,47181,Wayne County,0.8437,0.092
TN,47183,Weakley County,0.7036,0.285
TN,47185,White County,0.9445,0.421
TN,47187,Williamson County,0.9385,0.833
TN,47189,Wilson County,0.9672,0.841
TX,48001,Anderson County,0.497,0.191
TX,48003,Andrews County,0.8891,0.541
TX,48005,Angelina County,0.9044,0.501
TX,48007,Aransas County,0.9857,0.94
TX,48009,Archer County,0.9998,0.283
TX,48011,Armstrong County,0.7202,0.184
TX,48013,Atascosa County,1,0.232
TX,48015,Austin County,0.8709,0.186
TX,48017,Bailey County,0.7617,0.273
TX,48019,Bandera County,0.9711,0.673
TX,48021,Bastrop County,1,0.473
TX,48023,Baylor County,0.9972,0.082
TX,48025,Bee County,0.9866,0.47
TX,48027,Bell County,0.9641,0.67
TX,48029,Bexar County,0.9997,0.719
TX,48031,Blanco County,0.7087,0.132
TX,48033,Borden County,0.344,0.263
TX,48035,Bosque County,0.9942,0.131
TX,48037,Bowie County,0.9231,0.661
TX,48039,Brazoria County,0.8627,0.685
TX,48041,Brazos County,0.9594,0.745
TX,48043,Brewster County,0.7734,0.415
TX,48045,Briscoe County,0.8467,0.135
TX,48047,Brooks County,0.9976,0.08
TX,48049,Brown County,1,0.239
TX,48051,Burleson County,1,0.123
TX,48053,Burnet County,0.9002,0.564
TX,48055,Caldwell County,1,0.378
TX,48057,Calhoun County,0.8707,0.6
TX,48059,Callahan County,0.96,0.136
TX,48061,Cameron County,1,0.641
TX,48063,Camp County,0.4849,0.098
TX,48065,Carson County,0.9954,0.209
TX,48067,Cass County,0.5531,0.165
TX,48069,Castro County,0.8068,0.062
TX,48071,Chambers County,0.948,0.435
TX,48073,Cherokee County,0.6933,0.249
TX,48075,Childress County,0.9318,0.555
TX,48077,Clay County,0.9953,0.29
TX,48079,Cochran County,0.7518,0.167
TX,48081,Coke County,0.8518,0.095
TX,48083,Coleman County,0.3428,0.191
TX,48085,Collin County,0.9927,0.802
TX,48087,Collingsworth County,0.9685,0.148
TX,48089,Colorado County,0.8165,0.277
TX,48091,Comal County,0.991,0.931
TX,48093,Comanche County,0.9131,0.27
TX,48095,Concho County,0.8349,0.069
TX,48097,Cooke County,0.992,0.64
TX,48099,Coryell County,0.9911,0.552
TX,48101,Cottle County,0.8992,0.248
TX,48103,Crane County,0.1459,0.038
TX,48105,Crockett County,0.3661,0.151
TX,48107,Crosby County,0.8759,0.113
TX,48109,Culberson County,0.9194,0.07
TX,48111,Dallam County,0.9588,0.444
TX,48113,Dallas County,0.9986,0.733
TX,48115,Dawson County,0.994,0.246
TX,48117,Deaf Smith County,0.9287,0.192
TX,48119,Delta County,0.8537,0.088
TX,48121,Denton County,0.9966,0.891
TX,48123,DeWitt County,0.8941,0.344
TX,48125,Dickens County,0.9593,0.22
TX,48127,Dimmit County,0.7872,0.189
TX,48129,Donley County,0.5265,0.093
TX,48131,Duval County,0.7601,0.073
TX,48133,Eastland County,0.9998,0.09
TX,48135,Ector County,0.9501,0.595
TX,48137,Edwards County,0.4617,0.226
TX,48139,Ellis County,0.996,0.618
TX,48141,El Paso County,0.9798,0.547
TX,48143,Erath County,1,0.306
TX,48145,Falls County,0.9404,0.077
TX,48147,Fannin County,0.8832,0.37
TX,48149,Fayette County,0.9224,0.356
TX,48151,Fisher County,0.0789,0.053
TX,48153,Floyd County,0.7778,0.061
TX,48155,Foard County,0.9939,0.115
TX,48157,Fort Bend County,0.9483,0.837
TX,48159,Franklin County,0.7584,0.246
TX,48161,Freestone County,0.8093,0.234
TX,48163,Frio County,0.9928,0.349
TX,48165,Gaines County,0.9772,0.313
TX,48167,Galveston County,0.9392,0.684
TX,48169,Garza County,0.9125,0.152
TX,48171,Gillespie County,0.9794,0.605
TX,48173,Glasscock County,0.736,0.445
TX,48175,Goliad County,0.6555,0.073
TX,48177,Gonzales County,0.9991,0.246
TX,48179,Gray County,0.9583,0.453
TX,48181,Grayson County,0.9987,0.455
TX,48183,Gregg County,0.9293,0.527
TX,48185,Grimes County,0.801,0.173
TX,48187,Guadalupe County,1,0.748
TX,48189,Hale County,0.9445,0.353
